Date,Close,Date,Close,Date,Close
3/3/2015 16:00,133.9,3/3/2015 16:00,384.61,3/3/2015 16:00,81.58
3/4/2015 16:00,131.3,3/4/2015 16:00,382.72,3/4/2015 16:00,85.49
3/5/2015 16:00,132,3/5/2015 16:00,387.83,3/5/2015 16:00,86.1
3/6/2015 16:00,129.2,3/6/2015 16:00,380.09,3/6/2015 16:00,84.4
3/9/2015 16:00,125,3/9/2015 16:00,378.56,3/9/2015 16:00,82.53
3/10/2015 16:00,123.91,3/10/2015 16:00,369.51,3/10/2015 16:00,82.97
3/11/2015 16:00,126.51,3/11/2015 16:00,366.37,3/11/2015 16:00,81.99
3/12/2015 16:00,127.89,3/12/2015 16:00,374.24,3/12/2015 16:00,81.92
3/13/2015 16:00,125.71,3/13/2015 16:00,370.58,3/13/2015 16:00,81.86
3/16/2015 16:00,127.09,3/16/2015 16:00,373.35,3/16/2015 16:00,84
3/17/2015 16:00,127.66,3/17/2015 16:00,371.92,3/17/2015 16:00,84.5
3/18/2015 16:00,126.28,3/18/2015 16:00,375.14,3/18/2015 16:00,84.59
3/19/2015 16:00,122.91,3/19/2015 16:00,373.24,3/19/2015 16:00,85.74
3/20/2015 16:00,124.59,3/20/2015 16:00,378.49,3/20/2015 16:00,85.2
3/23/2015 16:00,125.43,3/23/2015 16:00,375.11,3/23/2015 16:00,84.25
3/24/2015 16:00,122.34,3/24/2015 16:00,374.09,3/24/2015 16:00,83.63
3/25/2015 16:00,121.11,3/25/2015 16:00,370.96,3/25/2015 16:00,83.75
3/26/2015 16:00,121.41,3/26/2015 16:00,367.35,3/26/2015 16:00,84.17
3/27/2015 16:00,122.85,3/27/2015 16:00,370.56,3/27/2015 16:00,84.58
3/30/2015 16:00,121.67,3/30/2015 16:00,374.59,3/30/2015 16:00,83.9
3/31/2015 16:00,122.52,3/31/2015 16:00,372.1,3/31/2015 16:00,83.24
4/1/2015 16:00,123.86,4/1/2015 16:00,370.26,4/1/2015 16:00,82.36
4/2/2015 16:00,125.14,4/2/2015 16:00,372.25,4/2/2015 16:00,82.28
4/6/2015 16:00,126.27,4/6/2015 16:00,377.04,4/6/2015 16:00,81.82
4/7/2015 16:00,126.97,4/7/2015 16:00,374.41,4/7/2015 16:00,82.21
4/8/2015 16:00,128.59,4/8/2015 16:00,381.2,4/8/2015 16:00,85.39
4/9/2015 16:00,129.7,4/9/2015 16:00,383.54,4/9/2015 16:00,86.14
4/10/2015 16:00,131.6,4/10/2015 16:00,382.65,4/10/2015 16:00,84.58
4/13/2015 16:00,130.71,4/13/2015 16:00,382.36,4/13/2015 16:00,84.28
4/14/2015 16:00,131.57,4/14/2015 16:00,385.11,4/14/2015 16:00,85
4/15/2015 16:00,132.2,4/15/2015 16:00,383.45,4/15/2015 16:00,84.67
4/16/2015 16:00,131.17,4/16/2015 16:00,386.04,4/16/2015 16:00,84.06
4/17/2015 16:00,130,4/17/2015 16:00,375.56,4/17/2015 16:00,81.9
4/20/2015 16:00,133.53,4/20/2015 16:00,389.51,4/20/2015 16:00,82.2
4/21/2015 16:00,136.95,4/21/2015 16:00,391.18,4/21/2015 16:00,82.42
4/22/2015 16:00,138.04,4/22/2015 16:00,389.8,4/22/2015 16:00,82.05
4/23/2015 16:00,138.97,4/23/2015 16:00,389.99,4/23/2015 16:00,82.28
4/24/2015 16:00,137.48,4/24/2015 16:00,445.1,4/24/2015 16:00,84.57
4/27/2015 16:00,136.85,4/27/2015 16:00,438.56,4/27/2015 16:00,84.9
4/28/2015 16:00,140.24,4/28/2015 16:00,429.31,4/28/2015 16:00,85.08
4/29/2015 16:00,142.98,4/29/2015 16:00,429.37,4/29/2015 16:00,82.45
4/30/2015 16:00,142.33,4/30/2015 16:00,421.78,4/30/2015 16:00,81.29
5/1/2015 16:00,145.35,5/1/2015 16:00,422.87,5/1/2015 16:00,81.17
5/4/2015 16:00,152.27,5/4/2015 16:00,423.04,5/4/2015 16:00,80.59
5/5/2015 16:00,149.19,5/5/2015 16:00,421.19,5/5/2015 16:00,79.54
5/6/2015 16:00,148.51,5/6/2015 16:00,419.1,5/6/2015 16:00,80
5/7/2015 16:00,145.1,5/7/2015 16:00,426.88,5/7/2015 16:00,86
5/8/2015 16:00,146.63,5/8/2015 16:00,433.69,5/8/2015 16:00,87.06
5/11/2015 16:00,146.18,5/11/2015 16:00,432.85,5/11/2015 16:00,86.72
5/12/2015 16:00,145.67,5/12/2015 16:00,431.02,5/12/2015 16:00,86.77
5/13/2015 16:00,144.66,5/13/2015 16:00,426.87,5/13/2015 16:00,87.53
5/14/2015 16:00,146.79,5/14/2015 16:00,432.28,5/14/2015 16:00,88.4
5/15/2015 16:00,146.46,5/15/2015 16:00,426,5/15/2015 16:00,88.46
