Date,Close,Date,Close,Date,Close
9/3/2019 16:00:00,581,9/3/2019 16:00:00,1789.84,9/3/2019 16:00:00,172.41
9/4/2019 16:00:00,590,9/4/2019 16:00:00,1800.62,9/4/2019 16:00:00,174.33
9/5/2019 16:00:00,605.69,9/5/2019 16:00:00,1840.72,9/5/2019 16:00:00,178.94
9/6/2019 16:00:00,597.79,9/6/2019 16:00:00,1833.51,9/6/2019 16:00:00,176.69
9/9/2019 16:00:00,571.13,9/9/2019 16:00:00,1831.35,9/9/2019 16:00:00,177.78
9/10/2019 16:00:00,549.17,9/10/2019 16:00:00,1820.55,9/10/2019 16:00:00,174.99
9/11/2019 16:00:00,560.88,9/11/2019 16:00:00,1822.99,9/11/2019 16:00:00,176.09
9/12/2019 16:00:00,571.73,9/12/2019 16:00:00,1843.55,9/12/2019 16:00:00,178.24
9/13/2019 16:00:00,566.83,9/13/2019 16:00:00,1839.34,9/13/2019 16:00:00,179.17
9/16/2019 16:00:00,554.05,9/16/2019 16:00:00,1807.84,9/16/2019 16:00:00,177.07
9/17/2019 16:00:00,549.98,9/17/2019 16:00:00,1822.55,9/17/2019 16:00:00,179
9/18/2019 16:00:00,542.52,9/18/2019 16:00:00,1817.46,9/18/2019 16:00:00,180
9/19/2019 16:00:00,549.31,9/19/2019 16:00:00,1821.5,9/19/2019 16:00:00,180.46
9/20/2019 16:00:00,547.97,9/20/2019 16:00:00,1794.16,9/20/2019 16:00:00,182.51
9/23/2019 16:00:00,540.09,9/23/2019 16:00:00,1785.3,9/23/2019 16:00:00,176.98
9/24/2019 16:00:00,537.29,9/24/2019 16:00:00,1741.61,9/24/2019 16:00:00,171.55
9/25/2019 16:00:00,551.87,9/25/2019 16:00:00,1768.33,9/25/2019 16:00:00,176.66
9/26/2019 16:00:00,549.86,9/26/2019 16:00:00,1739.84,9/26/2019 16:00:00,175
9/27/2019 16:00:00,541.52,9/27/2019 16:00:00,1725.45,9/27/2019 16:00:00,165.98
9/30/2019 16:00:00,551.23,9/30/2019 16:00:00,1735.91,9/30/2019 16:00:00,167.23
10/1/2019 16:00:00,550.43,10/1/2019 16:00:00,1735.65,10/1/2019 16:00:00,165.15
10/2/2019 16:00:00,544.09,10/2/2019 16:00:00,1713.23,10/2/2019 16:00:00,165.77
10/3/2019 16:00:00,558.19,10/3/2019 16:00:00,1724.42,10/3/2019 16:00:00,169.48
10/4/2019 16:00:00,559.22,10/4/2019 16:00:00,1739.65,10/4/2019 16:00:00,170.34
10/7/2019 16:00:00,548.87,10/7/2019 16:00:00,1732.66,10/7/2019 16:00:00,168.32
10/8/2019 16:00:00,525.63,10/8/2019 16:00:00,1705.51,10/8/2019 16:00:00,161.93
10/9/2019 16:00:00,532.03,10/9/2019 16:00:00,1721.99,10/9/2019 16:00:00,165.19
10/10/2019 16:00:00,542.41,10/10/2019 16:00:00,1720.26,10/10/2019 16:00:00,166.07
